ICD3;Name_deutsch;Name_englisch;Cluster
D76;Bestimmte Krankheiten mit Beteiligung des lymphoretikulären Gewebes unddes retikulohistiozytären Systems;Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue;4
D77;Sonstige Krankheiten des Blutes und der blutbildenden Organe bei anderenorts klassifizierten Krankheiten;Other disorders of blood and blood-forming organs in diseases classified elsewhere;
D78;;Intraoperative and postprocedural complications of the spleen;
D80;Immundefekt mit vorherrschendem Antikörpermangel;Immunodeficiency with predominantly antibody defects;0
D81;Kombinierte Immundefekte;Combined immunodeficiencies;4
D82;Immundefekt in Verbindung mit anderen schweren Defekten;Immunodeficiency associated with other major defects;4
D83;Variabler Immundefekt [common variable immunodeficiency];Common variable immunodeficiency;4
D84;Sonstige Immundefekte;Other immunodeficiencies;5
D86;Sarkoidose;Sarcoidosis;4
D89;Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert;Other disorders involving the immune mechanism, not elsewhere classified;4
D90;Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen;Immunocompromised after radiotherapy, chemotherapy and other immunosuppressive procedures;4
E00;Angeborenes Jodmangelsyndrom;Congenital iodine-deficiency syndrome;4
E01;Jodmangelbedingte Schilddrüsenkrankheiten und verwandte Zustände;Iodine-deficiency related thyroid disorders and allied conditions;3
E02;Subklinische Jodmangel-Hypothyreose;Subclinical iodine-deficiency hypothyroidism;4
E03;Sonstige Hypothyreose;Other hypothyroidism;3
E04;Sonstige nichttoxische Struma;Other nontoxic goiter;3
E05;Hyperthyreose [Thyreotoxikose];Thyrotoxicosis [hyperthyroidism];3
E06;Thyreoiditis;Thyroiditis;3
E07;Sonstige Krankheiten der Schilddrüse;Other disorders of thyroid;3
E08;;Diabetes mellitus due to underlying condition;
E09;;Drug or chemical induced diabetes mellitus;
E10;Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes];Type 1 diabetes mellitus;1
E11;Nicht primär insulinabhängiger Diabetes mellitus [Typ-2-Diabetes];Type 2 diabetes mellitus;1
E12;Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition];Malnutrition-related diabetes mellitus;4
E13;Sonstiger näher bezeichneter Diabetes mellitus;Other specified diabetes mellitus;1
E14;Nicht näher bezeichneter Diabetes mellitus;Unspecified diabetes mellitus;1
E15;Hypoglykämisches Koma, nichtdiabetisch;Nondiabetic hypoglycemic coma;1
E16;Sonstige Störungen der inneren Sekretion des Pankreas;Other disorders of pancreatic internal secretion;1
E20;Hypoparathyreoidismus;Hypoparathyroidism;4
E21;Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse;Hyperparathyroidism and other disorders of parathyroid gland;2
E22;Überfunktion der Hypophyse;Hyperfunction of pituitary gland;4
E23;Unterfunktion und andere Störungen der Hypophyse;Hypofunction and other disorders of the pituitary gland;4
E24;Cushing-Syndrom;Cushing's syndrome;4
E25;Adrenogenitale Störungen;Adrenogenital disorders;4
E26;Hyperaldosteronismus;Hyperaldosteronism;4
E27;Sonstige Krankheiten der Nebenniere;Other disorders of adrenal gland;4
E28;Ovarielle Dysfunktion;Ovarian dysfunction;5
E29;Testikuläre Dysfunktion;Testicular dysfunction;4
E30;Pubertätsstörungen, anderenorts nicht klassifiziert;Disorders of puberty, not elsewhere classified;4
E31;Polyglanduläre Dysfunktion;Polyglandular dysfunction;4
E32;Krankheiten des Thymus;Diseases of thymus;4
E34;Sonstige endokrine Störungen;Other endocrine disorders;3
E35;Störungen der endokrinen Drüsen bei anderenorts klassifizierten Krankheiten;Disorders of endocrine glands in diseases classified elsewhere;4
E36;;Intraoperative complications of endocrine system;
E40;Kwashiorkor;Kwashiorkor;
E41;Alimentärer Marasmus;Nutritional marasmus;4
E42;Kwashiorkor-Marasmus;Marasmic kwashiorkor;
E43;Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung;Unspecified severe protein-calorie malnutrition;4
E44;Energie- und Eiweißmangelernährung mäßigen und leichten Grades;Protein-calorie malnutrition of moderate and mild degree;4
E45;Entwicklungsverzögerung durch Energie- und Eiweißmangelernährung;Retarded development following protein-calorie malnutrition;0
E46;Nicht näher bezeichnete Energie- und Eiweißmangelernährung;Unspecified protein-calorie malnutrition;4
E50;Vitamin-A-Mangel;Vitamin A deficiency;4
E51;Thiaminmangel [Vitamin-B1-Mangel];Thiamine deficiency;1
E52;Niazinmangel [Pellagra];Niacin deficiency [pellagra];3
E53;Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes;Deficiency of other B group vitamins;1
E54;Askorbinsäuremangel;Ascorbic acid deficiency;1
E55;Vitamin-D-Mangel;Vitamin D deficiency;3
E56;Sonstige Vitaminmangelzustände;Other vitamin deficiencies;4
E58;Alimentärer Kalziummangel;Dietary calcium deficiency;4
E59;Alimentärer Selenmangel;Dietary selenium deficiency;0
E60;Alimentärer Zinkmangel;Dietary zinc deficiency;4
E61;Mangel an sonstigen Spurenelementen;Deficiency of other nutrient elements;5
E63;Sonstige alimentäre Mangelzustände;Other nutritional deficiencies;1
E64;Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen;Sequelae of malnutrition and other nutritional deficiencies;0
E65;Lokalisierte Adipositas;Localized adiposity;1
E66;Adipositas;Overweight and obesity;1
E67;Sonstige Überernährung;Other hyperalimentation;0
E68;Folgen der Überernährung;Sequelae of hyperalimentation;4
E70;Störungen des Stoffwechsels aromatischer Aminosäuren;Disorders of aromatic amino-acid metabolism;0
E71;Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;4
E72;Sonstige Störungen des Aminosäurestoffwechsels;Other disorders of amino-acid metabolism;4
E73;Laktoseintoleranz;Lactose intolerance;3
E74;Sonstige Störungen des Kohlenhydratstoffwechsels;Other disorders of carbohydrate metabolism;4
E75;Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung;Disorders of sphingolipid metabolism and other lipid storage disorders;4
E76;Störungen des Glykosaminoglykan-Stoffwechsels;Disorders of glycosaminoglycan metabolism;4
E77;Störungen des Glykoproteinstoffwechsels;Disorders of glycoprotein metabolism;4
E78;Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien;Disorders of lipoprotein metabolism and other lipidemias;1
E79;Störungen des Purin- und Pyrimidinstoffwechsels;Disorders of purine and pyrimidine metabolism;1
E80;Störungen des Porphyrin- und Bilirubinstoffwechsels;Disorders of porphyrin and bilirubin metabolism;4
E83;Störungen des Mineralstoffwechsels;Disorders of mineral metabolism;1
E84;Zystische Fibrose;Cystic fibrosis;4
E85;Amyloidose;Amyloidosis;4
E86;Volumenmangel;Volume depletion;1
E87;Sonstige Störungen des Wasser- und Elektrolythaushaltes sowie des Säure-Basen-Gleichgewichts;Other disorders of fluid, electrolyte and acid-base balance;1
E88;Sonstige Stoffwechselstörungen;Other and unspecified metabolic disorders;1
E89;Endokrine und Stoffwechselstörungen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified;3
E90;Ernährungs- und Stoffwechselstörungen bei anderenorts klassifizierten Krankheiten;Nutritional and metabolic disorders in diseases classified elsewhere;4
F00;Demenz bei Alzheimer-Krankheit (G30.-†);Dementia in Alzheimer's disease ( G30.-+ );1
F01;Vaskuläre Demenz;Vascular dementia;1
F02;Demenz bei anderenorts klassifizierten Krankheiten;Dementia in other diseases classified elsewhere;1
F03;Nicht näher bezeichnete Demenz;Unspecified dementia;1
F04;Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt;Amnestic disorder due to known physiological condition;4
F05;Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt;Delirium due to known physiological condition;1
F06;Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit;Other mental disorders due to known physiological condition;1
F07;Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns;Personality and behavioral disorders due to known physiological condition;1
F09;Nicht näher bezeichnete organische oder symptomatische psychische Störung;Unspecified mental disorder due to known physiological condition;4
F10;Psychische und Verhaltensstörungen durch Alkohol;Alcohol related disorders;4
F11;Psychische und Verhaltensstörungen durch Opioide;Opioid related disorders;4
F12;Psychische und Verhaltensstörungen durch Cannabinoide;Cannabis related disorders;4
F13;Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika;Sedative, hypnotic, or anxiolytic related disorders;4
F14;Psychische und Verhaltensstörungen durch Kokain;Cocaine related disorders;4
F15;Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein;Other stimulant related disorders;4
F16;Psychische und Verhaltensstörungen durch Halluzinogene;Hallucinogen related disorders;
F17;Psychische und Verhaltensstörungen durch Tabak;Nicotine dependence;3
F18;Psychische und Verhaltensstörungen durch flüchtige Lösungsmittel;Inhalant related disorders;3
F19;Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch undKonsum anderer psychotroper Substanzen;Other psychoactive substance related disorders;4
F20;Schizophrenie;Schizophrenia;2
F21;Schizotype Störung;Schizotypal disorder;4
F22;Anhaltende wahnhafte Störungen;Delusional disorders;2
F23;Akute vorübergehende psychotische Störungen;Brief psychotic disorder;2
F24;Induzierte wahnhafte Störung;Shared psychotic disorder;
F25;Schizoaffektive Störungen;Schizoaffective disorders;2
F28;Sonstige nichtorganische psychotische Störungen;Other psychotic disorder not due to a substance or known physiological condition;1
F29;Nicht näher bezeichnete nichtorganische Psychose;Unspecified psychosis not due to a substance or known physiological condition;2
F30;Manische Episode;Manic episode;2
F31;Bipolare affektive Störung;Bipolar disorder;2
F32;Depressive Episode;Major depressive disorder, single episode;3
F33;Rezidivierende depressive Störung;Major depressive disorder, recurrent;3
F34;Anhaltende affektive Störungen;Persistent mood [affective] disorders;3
F38;Andere affektive Störungen;Other mood [affective] disorders;4
F39;Nicht näher bezeichnete affektive Störung;Unspecified mood [affective] disorder;4
F40;Phobische Störungen;Phobic anxiety disorders;3
F41;Andere Angststörungen;Other anxiety disorders;3
F42;Zwangsstörung;Obsessive-compulsive disorder;4
F43;Reaktionen auf schwere Belastungen und Anpassungsstörungen;Reaction to severe stress, and adjustment disorders;3
F44;Dissoziative Störungen [Konversionsstörungen];Dissociative and conversion disorders;4
F45;Somatoforme Störungen;Somatoform disorders;3
F48;Andere neurotische Störungen;Other nonpsychotic mental disorders;3
F50;Essstörungen;Eating disorders;0
F51;Nichtorganische Schlafstörungen;Sleep disorders not due to a substance or known physiological condition;3
F52;Sexuelle Funktionsstörungen, nicht verursacht durch eine organische Störung oder Krankheit;Sexual dysfunction not due to a substance or known physiological condition;3
F53;Psychische oder Verhaltensstörungen im Wochenbett, anderenorts nicht klassifiziert;Puerperal psychosis;0
F54;Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten;Psychological and behavioral factors associated with disorders or diseases classified elsewhere;4
F55;Schädlicher Gebrauch von nichtabhängigkeitserzeugenden Substanzen;Abuse of non-psychoactive substances;4
F59;Nicht näher bezeichnete Verhaltensauffälligkeiten bei körperlichen Störungen und Faktoren;Unspecified behavioral syndromes associated with physiological disturbances and physical factors;4
F60;Spezifische Persönlichkeitsstörungen;Specific personality disorders;3
F61;Kombinierte und andere Persönlichkeitsstörungen;Mixed and other personality disorders;4
F62;Andauernde Persönlichkeitsänderungen, nicht Folge einer Schädigung oderKrankheit des Gehirns;Enduring personality changes, not attributable to brain damage and disease;3
F63;Abnorme Gewohnheiten und Störungen der Impulskontrolle;Impulse disorders;4
F64;Störungen der Geschlechtsidentität;Gender identity disorders;4
F65;Störungen der Sexualpräferenz;Paraphilias;4
F66;Psychische und Verhaltensstörungen in Verbindung mit der sexuellen Entwicklung und Orientierung;Other sexual disorders;5
F68;Andere Persönlichkeits- und Verhaltensstörungen;Other disorders of adult personality and behavior;4
F69;Nicht näher bezeichnete Persönlichkeits- und Verhaltensstörung;Unspecified disorder of adult personality and behavior;4
F70;Leichte Intelligenzminderung;Mild intellectual disabilities;0
F71;Mittelgradige Intelligenzminderung;Moderate intellectual disabilities;4
F72;Schwere Intelligenzminderung;Severe intellectual disabilities;1
F73;Schwerste Intelligenzminderung;Profound intellectual disabilities;4
F74;Dissoziierte Intelligenz;Dissociated intellect;0
F78;Andere Intelligenzminderung;Other intellectual disabilities;
F79;Nicht näher bezeichnete Intelligenzminderung;Unspecified intellectual disabilities;4
F80;Umschriebene Entwicklungsstörungen des Sprechens und der Sprache;Specific developmental disorders of speech and language;0
F81;Umschriebene Entwicklungsstörungen schulischer Fertigkeiten;Specific developmental disorders of scholastic skills;0
F82;Umschriebene Entwicklungsstörung der motorischen Funktionen;Specific developmental disorder of motor function;0
F83;Kombinierte umschriebene Entwicklungsstörungen;Mixed specific developmental disorders;0
F84;Tief greifende Entwicklungsstörungen;Pervasive developmental disorders;0
F88;Andere Entwicklungsstörungen;Other disorders of psychological development;4
F89;Nicht näher bezeichnete Entwicklungsstörung;Unspecified disorder of psychological development;0
F90;Hyperkinetische Störungen;Attention-deficit hyperactivity disorders;0
F91;Störungen des Sozialverhaltens;Conduct disorders;0
F92;Kombinierte Störung des Sozialverhaltens und der Emotionen;Mixed disorders of conduct and emotions;0
F93;Emotionale Störungen des Kindesalters;Emotional disorders with onset specific to childhood;0
F94;Störungen sozialer Funktionen mit Beginn in der Kindheit und Jugend;Disorders of social functioning with onset specific to childhood and adolescence;0
F95;Ticstörungen;Tic disorder;0
F98;Andere Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend;Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence;0
F99;Psychische Störung ohne nähere Angabe;Mental disorder, not otherwise specified;2
G00;Bakterielle Meningitis, anderenorts nicht klassifiziert;Bacterial meningitis, not elsewhere classified;0
G01;Meningitis bei anderenorts klassifizierten bakteriellen Krankheiten;Meningitis in bacterial diseases classified elsewhere;4
G02;Meningitis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten;Meningitis in other infectious and parasitic diseases classified elsewhere;0
G03;Meningitis durch sonstige und nicht näher bezeichnete Ursachen;Meningitis due to other and unspecified causes;3
G04;Enzephalitis, Myelitis und Enzephalomyelitis;Encephalitis, myelitis and encephalomyelitis;1
G05;Enzephalitis, Myelitis und Enzephalomyelitis bei anderenorts klassifizierten Krankheiten;Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere;0
G06;Intrakranielle und intraspinale Abszesse und Granulome;Intracranial and intraspinal abscess and granuloma;4
G07;Intrakranielle und intraspinale Abszesse und Granulome bei anderenorts klassifizierten Krankheiten;Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere;
